j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,20} rparity={}parity=1
j=0 jn=0 r={4,4,12} rn={1,1,3} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,20} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,2,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,22} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,6,22} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,22} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,22} rparity={}parity=1
j=0 jn=0 r={0,4,20} rn={0,1,5} sj={0,4,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,4,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,24} rparity={}parity=1
j=0 jn=0 r={4,4,16} rn={1,1,6} sj={4,8,24} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,6,26} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,26} rparity={}parity=1
j=0 jn=0 r={4,4,20} rn={1,1,5} sj={4,8,28} rparity={}parity=1
overlapm
     21.6284 -1.29757e-15  1.77679e-15  8.88178e-16  -1.2837e-16 -4.44089e-16     -5.59292      5.59292     -5.59292 -6.66134e-16 -4.44089e-16  6.66134e-16 -4.44089e-16 -6.66134e-16 -2.22004e-16  9.43676e-16 -2.49895e-16  1.05471e-15  -2.2199e-16 -5.55654e-19 -1.35525e-20   5.8574e-17 -1.35525e-20 -5.55654e-19  4.87891e-19 -2.05998e-18  8.89046e-17 -2.05998e-18  4.87891e-19     -2.31933      1.15967     -2.84059     -2.84059      2.31933      4.96002     -3.50727      3.74943      2.29605      -3.2471      3.55702     -1.32562      2.37135      -3.2471      3.74943     0.592836     -1.32562      2.29605     -3.50727      4.96002  2.21936e-16  1.76183e-19  1.11117e-16 -1.10982e-16 -5.55387e-17  8.32718e-17  6.38565e-16 -2.77759e-17   2.2199e-16 -1.10941e-16 -1.19365e-15  4.99705e-16  1.10982e-16  6.77626e-20  2.21909e-16 -4.87044e-21  5.29396e-21 -8.47033e-22  3.65283e-21 -6.88214e-22   1.9082e-17  3.45431e-21 -1.10589e-16  5.32043e-20 -8.47033e-22  1.59161e-16 -2.26317e-21  3.13296e-19  3.59989e-21 -4.87044e-21  6.77626e-21 -1.69407e-21           -0 -2.96462e-21 -8.47033e-22  2.77556e-17  2.32934e-21 -1.38778e-16 -1.51619e-19           -0   1.8735e-16 -1.05879e-21 -5.89535e-19 -1.69407e-21  6.77626e-21
-1.29757e-15       3.2893  5.55112e-16  -2.7864e-17 -2.86229e-17  7.28584e-17     0.854081    -0.427041    -0.854081      -1.0145      1.43471     -1.57165      1.43471      -1.0145 -1.52824e-16  1.66655e-16   6.8792e-16  2.22099e-16 -1.66696e-16 -8.47033e-20  2.03288e-19 -2.73219e-17  2.03288e-19 -8.47033e-20           -0   1.0842e-19   -6.245e-17   1.0842e-19           -0     -1.78781     0.595936   -8.921e-17  1.54499e-16    -0.595936      1.67452    -0.296016     -1.14248     0.416066      1.11637     -1.84543    -0.832531   -0.0780031      1.11637     -1.14248      0.84471    -0.832531     0.416066    -0.296016      1.67452       1.0188     -1.11604      1.48806     0.911246     -1.44081      1.63372    -0.588207      1.08915     -1.44081      1.48806     0.272287    -0.588207     0.911246     -1.11604       1.0188 -8.73503e-22  3.70577e-22 -7.94093e-22 -1.01644e-20  4.84503e-19  2.38524e-18 -4.16899e-22 -3.07913e-17  1.01644e-20 -7.94093e-22 -3.98851e-17  3.44107e-22 -6.13252e-19 -9.52912e-22 -2.64698e-23           -0           -0  4.23516e-22  1.89735e-19 -3.25261e-19 -5.55112e-17 -7.94093e-22 -1.73472e-18 -1.35525e-19  4.23516e-22  1.38236e-17 -6.88214e-22  4.60786e-19 -2.11758e-22  8.47033e-22
 1.77679e-15  5.55112e-16      2.84903  2.07625e-17  1.22664e-17  2.24994e-17     -1.54925     -1.03283    -0.258208    -0.135997   -0.0320548     0.117047   -0.0320548    -0.135997    -0.577517     0.913134      -1.0354     0.913134    -0.577517           -0           -0  7.09152e-18           -0           -0           -0           -0  1.30074e-17           -0           -0     -1.92587    -0.106993     0.917273     0.917273     0.855943    -0.125077    -0.132665     -1.31975      1.18372   -0.0815027     0.281654     0.350068    0.0159515   -0.0815027     -1.31975      -1.5815     0.350068      1.18372    -0.132665    -0.125077     -1.83621     0.838111     0.146821    -0.119879     -0.74397      1.19642    -0.032889     0.546868     -0.74397     0.146821   -0.0513419    -0.032889    -0.119879     0.838111     -1.83621           -0           -0           -0           -0           -0  1.23816e-16           -0  2.30935e-17  2.62361e-20           -0  6.72205e-18           -0  2.05797e-20           -0           -0           -0           -0           -0           -0           -0  5.37764e-17           -0  5.63785e-17 -1.81148e-20           -0  1.30104e-17           -0 -1.01088e-19           -0           -0
